date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
11:54:03	473/473	---M-Z	200	added ('OK')	text/plain	etag:%22bebc5fdf049d41:0%22	https://www.outlookfreeware.com/robots.txt		(from )
11:54:03	152/152	---M--	302	error ('Found')	text/html	date:Tue,%2011%20Jun%202019%2004:54:01%20GMT	https://www.outlookfreeware.com/	C:/My%20Web%20Sites/outlookfreeware/www.outlookfreeware.com/index.html	(from )
11:54:05	38671/38671	---M-Z	200	added ('OK')	text/html	date:Tue,%2011%20Jun%202019%2004:54:03%20GMT	https://www.outlookfreeware.com/en/	C:/My%20Web%20Sites/outlookfreeware/www.outlookfreeware.com/en/index.html	(from https://www.outlookfreeware.com/)
11:54:06	10134/10134	---M--	200	added ('OK')	image/x-icon	etag:%220a22425a653d21:0%22	https://www.outlookfreeware.com/favicon.ico	C:/My%20Web%20Sites/outlookfreeware/www.outlookfreeware.com/favicon.ico	(from https://www.outlookfreeware.com/en/)
11:54:07	485/485	---M-Z	200	added ('OK')	text/xml	etag:%228651788b6f9d31:0%22	https://www.outlookfreeware.com/en/opensearch.xml	C:/My%20Web%20Sites/outlookfreeware/www.outlookfreeware.com/en/opensearch.xml	(from https://www.outlookfreeware.com/en/)
11:54:08	5179/5179	---M--	200	added ('OK')	image/png	etag:%22b5eeb713951d41:0%22	https://www.outlookfreeware.com/bitrix/templates/OutlookFreeware/components/bitrix/catalogue.element.detail/.default/images/Actions.png	C:/My%20Web%20Sites/outlookfreeware/www.outlookfreeware.com/bitrix/templates/OutlookFreeware/components/bitrix/catalogue.element.detail/.default/images/Actions.png	(from https://www.outlookfreeware.com/en/)
11:54:09	2621/2621	---M--	200	added ('OK')	image/png	etag:%2232232c214312d51:0%22	https://www.outlookfreeware.com/bitrix/templates/OutlookFreeware/images/ReliefJetEssentialsLogo.png	C:/My%20Web%20Sites/outlookfreeware/www.outlookfreeware.com/bitrix/templates/OutlookFreeware/images/ReliefJetEssentialsLogo.png	(from https://www.outlookfreeware.com/en/)
11:54:11	2409/2409	---M--	200	added ('OK')	image/png	etag:%225eb246c3051d41:0%22	https://www.outlookfreeware.com/bitrix/templates/OutlookFreeware/components/bitrix/catalogue.element.list/.default/images/Background.png	C:/My%20Web%20Sites/outlookfreeware/www.outlookfreeware.com/bitrix/templates/OutlookFreeware/components/bitrix/catalogue.element.list/.default/images/Background.png	(from https://www.outlookfreeware.com/en/)
11:54:12	8602/8602	---M--	200	added ('OK')	image/png	etag:%227763467350d41:0%22	https://www.outlookfreeware.com/bitrix/templates/OutlookFreeware/images/Layout.png	C:/My%20Web%20Sites/outlookfreeware/www.outlookfreeware.com/bitrix/templates/OutlookFreeware/images/Layout.png	(from https://www.outlookfreeware.com/en/)
11:54:13	142/142	---M--	200	added ('OK')	image/png	etag:%22202456dabc51d41:0%22	https://www.outlookfreeware.com/bitrix/templates/OutlookFreeware/images/ItemRight.png	C:/My%20Web%20Sites/outlookfreeware/www.outlookfreeware.com/bitrix/templates/OutlookFreeware/images/ItemRight.png	(from https://www.outlookfreeware.com/en/)
